RX Date/Time,Packet Cnt(field 1),Status(field 2),IsCameraOn(field 3),IsMotorOn(field 4),IsBuzzerOn(field 5),Accelerometer X(field 6),Accelerometer Y(field 7),Accelerometer Z(field 8),Gyro X(field 9),Gyro Y(field 10),Gyro Z(field 11),Temperature(field 12),Pressure(field 13),Altitude(field 14),Latitude(field 15),Longitude(field 16),Altitude(field 17)
2024/08/08/ 14:20:43::986,75,0,0,0,0,-8.99,-4.44,0.63,42.45,64.25,10.94,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:44::989,76,0,0,0,0,-10.03,-1.15,0.52,41.82,59.59,350.41,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:45::985,77,0,0,0,0,-8.49,4.68,0.16,39.03,56.08,313.61,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:46::993,78,0,0,0,0,-5.49,8.17,-0.12,37.80,53.42,294.00,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:47::987,79,0,0,0,0,-5.67,8.05,-0.19,39.55,49.99,296.50,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:48::978,80,0,0,0,0,-4.99,8.44,-0.04,43.07,41.54,293.54,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:49::994,81,0,0,0,0,-4.02,9.05,-0.02,45.13,38.30,284.65,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:50::984,82,0,0,0,0,0.38,9.59,-0.07,44.23,34.43,257.24,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:52::001,83,0,0,0,0,4.13,8.68,0.25,44.08,31.16,238.68,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:52::995,84,0,0,0,0,5.41,7.84,0.23,44.68,27.62,232.69,36.67,0.99,65.86,0.00,0.00,0.00
2024/08/08/ 14:20:53::976,85,0,0,0,0,5.56,7.68,0.45,45.31,24.05,232.21,36.87,0.99,66.84,0.00,0.00,0.00
2024/08/08/ 14:20:54::972,86,0,0,0,0,5.59,7.69,0.21,46.22,20.35,233.38,36.87,0.99,67.35,0.00,0.00,0.00
2024/08/08/ 14:20:56::003,87,0,0,0,0,5.59,7.68,0.31,47.32,16.60,234.16,36.89,0.99,67.02,0.00,0.00,0.00
2024/08/08/ 14:20:56::988,88,0,0,0,0,5.56,7.71,0.21,49.36,9.65,236.00,36.91,0.99,66.68,0.00,0.00,0.00
2024/08/08/ 14:20:57::996,89,0,0,0,0,5.85,7.80,0.18,49.20,5.44,236.72,36.92,0.99,67.79,0.00,0.00,0.00
2024/08/08/ 14:20:58::986,90,0,0,0,0,6.11,7.80,0.28,53.42,358.26,238.29,36.94,0.99,67.45,0.00,0.00,0.00
2024/08/08/ 14:20:59::975,91,0,0,0,0,5.28,6.88,-3.25,66.48,335.81,238.32,36.97,0.99,66.95,0.00,0.00,0.00
2024/08/08/ 14:21:00::988,92,0,0,0,0,4.79,6.04,-5.38,73.26,325.40,238.25,36.99,0.99,67.21,0.00,0.00,0.00
2024/08/08/ 14:21:01::989,93,0,0,0,0,4.46,4.92,-7.20,77.08,319.34,233.20,36.99,0.99,67.97,0.00,0.00,0.00
2024/08/08/ 14:21:03::012,94,0,0,0,0,7.42,6.17,-0.95,51.86,338.00,225.67,37.01,0.99,66.87,0.00,0.00,0.00
2024/08/08/ 14:21:04::014,95,0,0,0,0,7.70,5.66,0.29,49.85,339.23,225.00,37.03,0.99,67.21,0.00,0.00,0.00
2024/08/08/ 14:21:05::024,96,0,0,0,0,7.66,5.57,0.43,51.02,335.72,226.13,37.05,0.99,67.05,0.00,0.00,0.00
2024/08/08/ 14:21:06::032,97,0,0,0,0,7.69,5.46,0.08,53.11,328.70,227.43,37.07,0.99,67.74,0.00,0.00,0.00
2024/08/08/ 14:21:07::016,98,0,0,0,0,8.04,4.87,0.82,53.79,325.33,223.97,37.08,0.99,67.23,0.00,0.00,0.00
2024/08/08/ 14:21:08::049,99,0,0,0,0,8.14,4.82,0.48,54.84,321.82,224.99,37.08,0.99,67.23,0.00,0.00,0.00
2024/08/08/ 14:21:09::048,100,0,0,0,0,8.13,4.82,0.45,55.78,318.35,226.05,37.08,0.99,67.23,0.00,0.00,0.00
2024/08/08/ 14:21:10::056,101,0,0,0,0,8.15,4.83,0.46,56.71,314.62,226.87,37.14,0.99,67.07,0.00,0.00,0.00
2024/08/08/ 14:21:11::044,102,0,0,0,0,8.14,4.83,0.43,57.68,311.01,227.70,37.15,0.99,66.56,0.00,0.00,0.00
2024/08/08/ 14:21:12::043,103,0,0,0,0,8.15,4.86,0.47,58.66,307.54,228.65,37.16,0.99,66.99,0.00,0.00,0.00
